geoid,name,households,working_age_hh,mhi,wahi,ratio,share_65plus_pct,share_under25_pct,reliable,flag,gap_anchored_mhi,gap_anchored_wahi,gap_anchored_ami
45079,Richland County,167961,116126,63784,72741,1.1327,23.1,7.8,1,0,-3162,-607,694
54039,Kanawha County,76459,48036,60943,69309,1.1327,33.9,3.3,1,0,1807,2346,2741
0670224,Santee city,21196,15397,113394,129178,1.1327,26.9,0.5,1,0,-628,-472,378
31153,Sarpy County,74097,54885,103321,116862,1.1326,21.1,4.8,1,0,1922,1237,1377
39049,Franklin County,553099,410397,75176,85155,1.1326,20.2,5.6,1,0,12242,16127,14824
2717486,East Bethel city,4468,3477,110000,127733,1.1326,21.6,0.6,1,0,27,12,15
29181,Ripley County,4002,2418,42037,47538,1.1326,34.6,5.0,0,0,-4,21,65
2963956,St. Ann city,5880,3911,52323,61688,1.1326,26.9,6.6,0,0,119,349,26
0671106,Shafter city,5677,4587,71215,79188,1.1326,18.3,0.9,0,0,-41,2,78
16063,Lincoln County,1848,1282,71453,80858,1.1325,28.0,2.7,1,0,88,94,87
12007,Bradford County,9278,5909,63050,71270,1.1325,33.6,2.7,1,0,188,318,381
35053,Socorro County,5269,3159,36570,42433,1.1325,38.6,1.5,0,0,-48,-72,115
2124274,Elizabethtown city,13684,9644,60760,69047,1.1325,24.7,4.8,1,0,1125,1196,758
3476070,Vineland city,21617,14849,67860,77978,1.1324,29.4,1.9,1,0,-348,111,197
26067,Ionia County,23355,16282,75611,85827,1.1324,27.8,2.5,1,0,581,663,615
12089,Nassau County,39307,24298,89804,102214,1.1324,35.9,2.3,1,0,-83,85,71
16039,Elmore County,11067,7685,65359,74956,1.1324,23.1,7.4,1,0,88,269,301
0817375,Cortez city,3715,2246,54247,61591,1.1323,33.2,6.4,0,0,-57,0,50
1228400,Haines City city,11511,8212,65975,73957,1.1323,25.6,3.1,1,0,10,232,154
3951310,Monroe city,5259,3820,105250,121834,1.1322,24.5,2.8,1,0,58,51,56
1971625,Sergeant Bluff city,1808,1415,123481,137296,1.1322,19.0,2.7,1,0,56,60,80
48339,Montgomery County,247541,183462,97701,110850,1.1322,22.4,3.4,1,0,3231,2504,3247
06065,Riverside County,775335,547032,93074,106104,1.1321,27.7,1.7,1,0,-12188,-15008,-13448
3139345,Plattsmouth city,2850,1949,73929,84010,1.1321,23.7,7.9,1,0,73,75,44
4730960,Greenbrier town,2460,1869,85174,96738,1.1321,21.2,2.8,1,0,41,46,22
